the	The cat is on the roof.
of	This is a cup of tea.
and	I like bread and butter.
to	We go to school.
a	She has a red car.
in	The keys are in the bag.
for	This gift is for you.
on	The book is on the table.
that	I know that man.
by	He sat by the window.
this	This is my favorite song.
with	I came with my friend.
i	I love to read.
you	You are very kind.
it	It looks nice today.
not	I do not want that.
or	Do you want tea or coffee?
be	Please be quiet.
from	She is from Spain.
at	We met at noon.
as	I saw him as I left.
your	Is this your book?
all	All the kids are here.
have	We have two cats.
new	She bought a new car.
more	Please give me more time.
we	We are going now.
will	He will call later.
home	I am home now.
can	You can do it.
us	They came with us.
about	Tell me about it.
if	Call me if you can.
page	Turn to page ten.
my	This is my seat.
search	I will search for it.
free	The app is free.
but	I like it but it’s loud.
our	Our house is small.
one	I have one brother.
other	Show me the other option.
do	I do my homework every day.
no	There is no milk left.
information	She gave me useful information.
time	What time is the meeting?
they	They are coming tomorrow.
site	The construction site is busy.
he	He likes to read books.
up	Please pick up your toys.
may	May I use your phone?
what	What is your favorite color?
which	Which coat is yours?
their	Their dog is very friendly.
news	The news was surprising.
out	Let’s go out for lunch.
use	Can I use your pen?
any	Do you have any questions?
there	There is a cat outside.
see	I see the moon tonight.
only	She is the only one here.
so	I am so tired today.
his	His dog is very friendly.
when	When will you arrive?
contact	Please contact me by email.
here	We can sit here.
business	She runs a small business.
who	Who is at the door?
web	The web has many answers.
also	I also like tea.
now	We need to leave now.
help	Can you help me move?
get	I will get some water.
view	The view from here is nice.
online	I bought it online.
first	This is my first visit.
would	Would you like some coffee?
how	How did you do that?
me	Please give me the book.
some	I need some more time.
click	Click the button to start.
its	Its color is bright blue.
like	I like this song a lot.
service	The service here is fast.
than	She is taller than me.
find	Can you find my keys?
price	The price is too high.
date	What is the date today?
back	Please come back soon.
top	The top shelf is empty.
people	Many people like pizza.
list	Make a list of tasks.
name	My name is Anna.
just	I just ate lunch.
over	The game is over now.
state	Texas is a big state.
year	Next year will be fun.
day	Today is a good day.
into	He walked into the room.
email	Send me an email later.
two	I have two cats.
health	Good health is important for everyone.
world	The world is a big place.
next	We will meet next week.
used	She used my pen yesterday.
go	I go to school by bus.
work	He has a lot of work today.
last	This is the last cookie.
most	Most kids like ice cream.
music	Music makes me happy.
buy	I want to buy a new book.
data	The data shows a clear trend.
make	Can you make a cake?
them	I called them this morning.
should	You should drink more water.
product	This product is very popular.
system	The new system works well.
post	Please post this letter.
her	I gave her a gift.
city	The city is very busy.
add	Add some salt to the soup.
policy	The company changed its policy on refunds.
number	Please write your phone number here.
such	I have never seen such a beautiful sunset.
please	Please close the door quietly.
available	The new book is available now.
support	I need your support for this plan.
message	She left a message on my phone.
after	We will eat after the movie.
best	This is the best cake I have tried.
software	The software needs an update.
then	We went home, then watched TV.
good	That was a good movie.
video	I watched a funny video online.
well	She sings very well.
where	Where did you put my keys?
public	The park is open to the public.
high	The shelf is too high for me.
school	My brother goes to school by bus.
through	We walked through the forest.
each	Each student got a new book.
she	She is my best friend.
review	I wrote a review of the movie.
order	Please order the pizza now.
very	The soup is very hot.
privacy	Your privacy matters to us.
book	I borrowed a book from the library.
company	She works for a big company.
read	I read a story every night.
group	Our group meets on Fridays.
sex	The form asks for your sex.
need	I need a glass of water.
many	Many people came to the party.
user	Each user has a password.
set	Set the table for dinner.
under	The cat is under the chair.
general	The general idea is simple.
research	She does research on plants.
university	He studies at the university.
january	January is the first month.
mail	I will mail this letter today.
full	The glass is full of water.
map	Please show me the map.
program	This program runs very fast.
life	Life is short and sweet.
know	I know the answer.
way	Show me the way home.
management	Management approved the new plan.
part	That part is missing.
could	Could you help me?
great	We had a great time.
united	They are united as one team.
hotel	The hotel is near the beach.
real	Is this real gold?
item	This item is on sale.
international	She works for an international company.
center	The center of town is busy.
must	You must wear a seatbelt.
store	The store opens at nine.
travel	We travel by train.
development	The development of the city continues.
report	Please write a report on the sales.
off	Turn off the lights before leaving.
member	She is a member of the club.
line	Please stand in line.
before	Wash your hands before dinner.
send	Send me the file by email.
right	Turn right at the corner.
type	What type of music do you like?
because	I stayed home because it rained.
local	We bought bread from the local bakery.
office	He works in the main office.
education	Education is important for children.
national	The national team won the game.
car	My car is parked outside.
design	She will design a new logo.
take	Take an umbrella with you.
internet	The internet is down today.
address	Write your address on the form.
community	The community built a new park.
within	Finish the task within one hour.
area	The kitchen area is very small.
want	I want a cup of tea.
phone	My phone battery is dead.
dvd	We watched a DVD last night.
subject	Math is my favorite subject.
between	The park sits between two roads.
family	My family eats dinner together.
long	The movie was too long.
based	The story is based on true events.
code	Enter the code to unlock the door.
show	Can you show me the way?
o	The letter O looks like a circle.
even	Even the dog was tired.
black	She wore a black dress.
check	Please check your answers.
special	Today is a special day.
website	I found it on that website.
being	She enjoys being outside.
much	How much does it cost?
sign	Please sign your name here.
file	Please find the file on my desk.
link	Click the link to see the map.
open	Open the window, please.
today	Today is a sunny day.
technology	Technology changes fast.
south	The birds fly south.
case	Put the book in the case.
project	Our project is due Friday.
same	We wear the same shirt.
version	This is the new version.
section	Read the last section.
own	I own a small car.
found	She found a coin.
house	Their house is white.
related	These topics are related.
security	Security checks our bags.
both	Both answers are wrong.
county	He lives in this county.
photo	Take a photo of us.
game	Let’s play a game.
power	The power went out last night.
while	She read while he cooked.
care	Please care for the plants.
network	The network is down again.
down	He walked down the hill.
computer	My computer is very slow.
three	I have three cats.
total	The total cost is ten dollars.
place	Put the book in its place.
end	The movie has a happy end.
following	The following day was rainy.
download	I will download the file.
him	I saw him at the store.
without	She left without her keys.
per	The price is five dollars per pound.
access	You need a key for access.
think	I think it will rain.
north	The birds fly north in spring.
current	The current is strong today.
big	That is a big dog.
media	The media covered the event live.
law	The law requires a license to drive.
control	She tried to control her anger.
water	Please water the plants today.
history	We studied ancient history in class.
size	This shirt is the wrong size.
art	She loves modern art.
personal	That is my personal opinion.
since	I have been here since noon.
including	Everyone came, including the boss.
guide	He will guide us through the forest.
shop	I need to shop for groceries.
board	The board approved the new budget.
location	The map shows our exact location.
change	Can you change a ten-dollar bill?
white	She wore a white dress.
text	Please send me the text.
small	The puppy is very small.
rate	The interest rate is low.
government	The government announced new rules.
during	The store is closed during the holiday.
return	Please return the book to the library.
shopping	We are shopping for new shoes.
account	She checked her bank account online.
level	The water level is rising fast.
digital	This camera takes digital photos.
profile	He updated his profile picture.
previous	I missed the previous meeting.
form	Please fill out this form.
love	I love my new puppy.
old	That old clock still works.
main	The main road is closed.
call	I will call you tonight.
image	The image is very clear.
department	She works in the sales department.
title	What is the title of the book?
description	Give a short description of the scene.
insurance	Car insurance is expensive here.
another	Can I have another cookie?
why	Why did you leave early?
shall	You shall go to the store.
property	This property is for sale.
class	Our class starts at nine.
cd	I found an old cd in the drawer.
still	She is still sleeping.
money	He needs more money.
quality	The quality is very good.
every	Every student passed the test.
content	The content of the book is interesting.
country	Italy is a beautiful country.
private	This is a private meeting.
little	The little dog barked.
visit	We will visit grandma soon.
save	Please save some cake for me.
low	The shelf is too low.
reply	Please reply to my email.
customer	The customer asked for help.
december	My birthday is in december.
compare	Compare these two prices.
include	Please include your name.
college	She visited her brother at college.
value	This ring has great value to me.
article	I read an article about space.
man	The man waved from the bus.
card	He handed me a blue card.
provide	They provide water for the team.
food	The food at that café is tasty.
source	The river is the source of power.
author	The author signed my book.
different	We took a different route home.
press	Press the button to start.
learn	Children learn by playing.
sale	The store is having a big sale.
around	We walked around the lake.
print	Please print the document twice.
course	The golf course is very green.
job	She found a new job in town.
process	This process takes two hours.
room	The room has a large window.
stock	The stock price went up today.
training	She starts her training at nine.
too	This shirt is too small for me.
credit	I used my credit card to pay.
point	Please point to the map.
join	You can join our club today.
science	Science class is my favorite.
advanced	He took an advanced math course.
west	The sun sets in the west.
look	Look at that beautiful bird.
left	She left her keys at home.
team	Our team won the game.
estate	They bought a new estate.
box	Put the toys in that box.
select	Select the blue button.
week	I will see you next week.
category	This book is in the fiction category.
note	Please note the time change.
live	They live near the park.
large	He ordered a large pizza.
gallery	The art gallery opens at ten.
table	Please set the book on the table.
register	I need to register for the class.
however	I like it; however, it is costly.
june	My birthday is in June.
october	October is my favorite month.
november	We travel in November.
market	She buys fruit at the market.
library	He studies at the library.
really	I really enjoy this song.
action	The movie was full of action.
start	Let’s start the meeting now.
series	I watched a new series.
model	This car is a new model.
air	The air feels fresh today.
industry	She works in the tech industry.
plan	We plan to leave early.
human	Every human needs water.
tv	The TV is too loud.
yes	Yes, I agree with you.
second	Wait one second, please.
hot	The soup is too hot to eat.
cost	How much does this shirt cost?
movie	We watched a movie last night.
march	The soldiers march in the parade.
september	School starts in September.
better	I feel better today than yesterday.
say	Please say your name clearly.
july	We go to the beach in July.
medical	She needs medical attention now.
test	I have a math test tomorrow.
friend	My friend lives next door.
come	Please come to my party.
study	I study English every evening.
application	Fill out this job application.
staff	The staff is very friendly.
feedback	Thanks for your helpful feedback.
again	Can you say that again?
play	The children play outside.
april	My birthday is in April.
never	I never eat spicy food.
complete	The project is complete and ready to ship.
street	The street was quiet at midnight.
topic	We discussed a new topic in class.
comment	She left a kind comment on my post.
financial	He needs financial help for college.
working	She is working late tonight.
against	They voted against the new rule.
standard	This is the standard way to do it.
tax	The tax on food is low here.
person	That person is my neighbor.
below	The answer is below the chart.
less	I have less time than you.
blog	I read her blog every morning.
party	We are hosting a party on Friday.
payment	Your payment is due tomorrow.
equipment	The gym equipment is new.
student	That student studies very hard.
let	Please let me help you.
legal	It is legal to park here.
above	The sign is above the door.
recent	I read a recent article about space.
park	We walked through the park after lunch.
side	The cat sat on the sunny side of the house.
act	Her kind act made everyone smile.
problem	That math problem is too hard for me.
red	She wore a bright red dress to the party.
give	Please give me the blue pen.
memory	My earliest memory is of my grandmother.
performance	The band's performance was amazing last night.
social	He is very social at school events.
august	August is the hottest month here.
quote	She wrote a famous quote on the board.
language	English is my favorite language to learn.
story	Tell me a short story before bed.
sell	They sell fresh fruit at the market.
experience	Traveling gave me a new experience.
create	We can create a simple drawing together.
key	This key opens the front door.
body	Exercise keeps your body strong.
young	The young puppy slept all day.
important	This is an important meeting.
field	The cows are in the field.
few	I have few friends here.
east	The sun rises in the east.
paper	I need a piece of paper.
single	She is single and happy.
age	What is your age?
club	We joined the chess club.
example	Give me one example.
additional	We need additional time.
latest	Have you seen the latest news?
something	I want something to eat.
road	The road is very long.
gift	This gift is for you.
question	I have a quick question.
night	The night is quiet.
hard	This test is hard.
pay	Please pay at the counter.
four	There are four chairs.
status	Check your order status.
issue	Please tell me about the issue.
range	The mountains range far to the north.
building	That building is very tall.
